boss_name,our_dps,accuracy_pct,max_hit,style,attack_type,style_choice,weapon,ammo_slot,loaded_dart,head,cape,neck,body,shield,legs,hands,feet,ring,boost_used,active_bonuses,boss_page_url,wiki_calc_url,wiki_dps,dps_diff,dps_diff_pct,notes
Vorkath,8.7109,72.11,58,ranged,ranged,rapid,Dragon crossbow,Ruby dragon bolts (e),,Void ranger helm,Ava's assembler,Salve amulet(ei),Elite void top,Dragonfire ward,Elite void robe,Void knight gloves,Zamorak d'hide boots,Brimstone ring,Ranging potion (4),Salve(ei) vs undead,http://localhost:3000/boss/vorkath,https://tools.runescape.wiki/osrs-dps/?id=DwarfGoldenEarth,,,,
Zulrah,6.9042,67.63,49,melee,slash,accurate,Abyssal tentacle,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,Dragon defender,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),,http://localhost:3000/boss/zulrah,https://tools.runescape.wiki/osrs-dps/?id=FarmersToadflaxCamel,,,,
Vardorvis,5.7039,55.88,49,melee,slash,accurate,Abyssal tentacle,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,Dragon defender,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),,http://localhost:3000/boss/vardorvis,https://tools.runescape.wiki/osrs-dps/?id=RobinMoltenEmirs,,,,
The Leviathan,7.0412,63.47,49,ranged,ranged,rapid,Dragon crossbow,Ruby dragon bolts (e),,Void ranger helm,Ava's assembler,Amulet of blood fury,Elite void top,Dragonfire ward,Elite void robe,Void knight gloves,Zamorak d'hide boots,Brimstone ring,Ranging potion (4),,http://localhost:3000/boss/the-leviathan,https://tools.runescape.wiki/osrs-dps/?id=DenturesKingsOrbs,,,,
The Whisperer,5.2070,75.74,33,magic,magic,accurate,Trident of the swamp,Holy blessing,,Void mage helm,Imbued zamorak cape,Occult necklace,Elite void top,Malediction ward,Elite void robe,Void knight gloves,Eternal boots,Brimstone ring,Magic potion (4),,http://localhost:3000/boss/the-whisperer,https://tools.runescape.wiki/osrs-dps/?id=UrisThanksgivingDecay,,,,
Duke Sucellus,4.8785,45.92,51,melee,slash,accurate,Arclight,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,Dragon defender,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),Demonbane vs demon,http://localhost:3000/boss/duke-sucellus,https://tools.runescape.wiki/osrs-dps/?id=VolumeAmascutHammerstone,,,,
General Graardor,4.4017,47.88,44,ranged,ranged,rapid,Dragon crossbow,Ruby dragon bolts (e),,Ancient coif,Ava's assembler,Amulet of blood fury,Eclipse moon chestplate,Dragonfire ward,Guthix chaps,Barrows gloves,Zamorak d'hide boots,Brimstone ring,Ranging potion (4),,http://localhost:3000/boss/general-graardor,https://tools.runescape.wiki/osrs-dps/?id=MysticalMetalMessage,,,,
Commander Zilyana,4.1676,44.47,44,ranged,ranged,rapid,Dragon crossbow,Ruby dragon bolts (e),,Ancient coif,Ava's assembler,Amulet of blood fury,Eclipse moon chestplate,Dragonfire ward,Guthix chaps,Barrows gloves,Zamorak d'hide boots,Brimstone ring,Ranging potion (4),,http://localhost:3000/boss/commander-zilyana,https://tools.runescape.wiki/osrs-dps/?id=HeraldicRecordsCustom,,,,
Kree'arra,2.9640,26.89,44,ranged,ranged,rapid,Dragon crossbow,Ruby dragon bolts (e),,Ancient coif,Ava's assembler,Amulet of blood fury,Eclipse moon chestplate,Dragonfire ward,Guthix chaps,Barrows gloves,Zamorak d'hide boots,Brimstone ring,Ranging potion (4),,http://localhost:3000/boss/kreearra,https://tools.runescape.wiki/osrs-dps/?id=PhluxiaCommunityMission,,,,
K'ril Tsutsaroth,5.0909,47.91,51,melee,slash,accurate,Arclight,Holy blessing,,Serpentine helm,Fire cape,Amulet of blood fury,Blood moon chestplate,Dragon defender,Blood moon tassets,Barrows gloves,Dragon boots,Berserker ring (i),Super combat potion (4),Demonbane vs demon,http://localhost:3000/boss/kril-tsutsaroth,https://tools.runescape.wiki/osrs-dps/?id=KillingOomlieGoldsmith,,,,
